127.0.0.1 - - [07/Aug/2025:01:47:13 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [07/Aug/2025:01:47:15 +0530] "GET /razorpay-demo/ HTTP/1.1" 200 1477
0:0:0:0:0:0:0:1 - - [07/Aug/2025:01:47:17 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [07/Aug/2025:01:47:23 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [07/Aug/2025:01:47:26 +0530] "POST /razorpay-demo/create-order HTTP/1.1" 200 210
0:0:0:0:0:0:0:1 - - [07/Aug/2025:01:47:51 +0530] "GET /razorpay-demo/ HTTP/1.1" 200 1477
0:0:0:0:0:0:0:1 - - [07/Aug/2025:01:47:51 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [07/Aug/2025:01:47:55 +0530] "POST /razorpay-demo/create-order HTTP/1.1" 200 212
0:0:0:0:0:0:0:1 - - [07/Aug/2025:01:48:08 +0530] "POST /razorpay-demo/create-order HTTP/1.1" 200 212
0:0:0:0:0:0:0:1 - - [07/Aug/2025:01:48:17 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [07/Aug/2025:01:48:50 +0530] "GET /razorpay-demo/ HTTP/1.1" 200 1477
0:0:0:0:0:0:0:1 - - [07/Aug/2025:01:48:50 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [07/Aug/2025:01:48:51 +0530] "POST /razorpay-demo/create-order HTTP/1.1" 400 29
0:0:0:0:0:0:0:1 - - [07/Aug/2025:01:49:17 +0530] "GET /razorpay-demo/ HTTP/1.1" 200 1477
0:0:0:0:0:0:0:1 - - [07/Aug/2025:01:49:17 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [07/Aug/2025:01:49:21 +0530] "POST /razorpay-demo/create-order HTTP/1.1" 200 210
0:0:0:0:0:0:0:1 - - [07/Aug/2025:01:51:32 +0530] "GET /razorpay-demo/ HTTP/1.1" 200 1477
0:0:0:0:0:0:0:1 - - [07/Aug/2025:01:51:32 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [07/Aug/2025:01:51:34 +0530] "POST /razorpay-demo/create-order HTTP/1.1" 200 210
0:0:0:0:0:0:0:1 - - [07/Aug/2025:01:54:26 +0530] "GET /razorpay-demo/ HTTP/1.1" 200 1481
0:0:0:0:0:0:0:1 - - [07/Aug/2025:01:54:29 +0530] "POST /razorpay-demo/create-order HTTP/1.1" 200 210
0:0:0:0:0:0:0:1 - - [07/Aug/2025:02:07:19 +0530] "POST /payment-callback HTTP/1.1" 404 768
0:0:0:0:0:0:0:1 - - [07/Aug/2025:02:08:22 +0530] "POST /payment-callback HTTP/1.1" 404 768
0:0:0:0:0:0:0:1 - - [07/Aug/2025:02:08:26 +0530] "GET /razorpay-demo/ HTTP/1.1" 200 1481
0:0:0:0:0:0:0:1 - - [07/Aug/2025:02:08:30 +0530] "POST /razorpay-demo/create-order HTTP/1.1" 200 210
0:0:0:0:0:0:0:1 - - [07/Aug/2025:02:09:30 +0530] "POST /payment-callback HTTP/1.1" 404 768
0:0:0:0:0:0:0:1 - - [07/Aug/2025:02:10:08 +0530] "POST /razorpay-demo/create-order HTTP/1.1" 200 210
0:0:0:0:0:0:0:1 - - [07/Aug/2025:02:11:19 +0530] "POST /payment-callback HTTP/1.1" 404 768
0:0:0:0:0:0:0:1 - - [07/Aug/2025:02:12:38 +0530] "POST /razorpay-demo/create-order HTTP/1.1" 200 210
0:0:0:0:0:0:0:1 - - [07/Aug/2025:02:13:18 +0530] "POST /payment-callback HTTP/1.1" 404 768
0:0:0:0:0:0:0:1 - - [07/Aug/2025:02:14:33 +0530] "GET /payment-callback HTTP/1.1" 404 768
0:0:0:0:0:0:0:1 - - [07/Aug/2025:02:16:31 +0530] "POST /razorpay-demo/create-order HTTP/1.1" 200 210
0:0:0:0:0:0:0:1 - - [07/Aug/2025:02:17:09 +0530] "POST /payment-callback HTTP/1.1" 404 768
0:0:0:0:0:0:0:1 - - [07/Aug/2025:02:21:48 +0530] "GET /razorpay-demo/ HTTP/1.1" 200 1564
0:0:0:0:0:0:0:1 - - [07/Aug/2025:02:21:49 +0530] "POST /razorpay-demo/create-order HTTP/1.1" 400 29
0:0:0:0:0:0:0:1 - - [07/Aug/2025:02:21:55 +0530] "POST /razorpay-demo/create-order HTTP/1.1" 200 210
0:0:0:0:0:0:0:1 - - [07/Aug/2025:02:22:29 +0530] "POST /razorpay-demo/payment-callback HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Aug/2025:02:22:29 +0530] "GET /success.jsp?orderId=order_R2BfYWhaXwpBpn HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [07/Aug/2025:02:24:21 +0530] "GET /success.jsp?orderId=order_R2BfYWhaXwpBpn HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [07/Aug/2025:02:24:24 +0530] "GET /success.jsp?orderId=order_R2BfYWhaXwpBpn HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [07/Aug/2025:02:24:36 +0530] "POST /razorpay-demo/create-order HTTP/1.1" 200 210
0:0:0:0:0:0:0:1 - - [07/Aug/2025:02:24:36 +0530] "POST /razorpay-demo/create-order HTTP/1.1" 200 210
0:0:0:0:0:0:0:1 - - [07/Aug/2025:02:24:37 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [07/Aug/2025:02:25:08 +0530] "POST /razorpay-demo/payment-callback HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Aug/2025:02:25:08 +0530] "GET /razorpay-demo/success.jsp?orderId=order_R2BiO42vGu9g0P HTTP/1.1" 200 568
0:0:0:0:0:0:0:1 - - [07/Aug/2025:02:31:36 +0530] "POST /razorpay-demo/create-order HTTP/1.1" 200 210
0:0:0:0:0:0:0:1 - - [07/Aug/2025:02:31:44 +0530] "GET /razorpay-demo/ HTTP/1.1" 200 1567
0:0:0:0:0:0:0:1 - - [07/Aug/2025:02:31:45 +0530] "GET /razorpay-demo/ HTTP/1.1" 200 1567
0:0:0:0:0:0:0:1 - - [07/Aug/2025:02:31:45 +0530] "GET /razorpay-demo/ HTTP/1.1" 200 1567
0:0:0:0:0:0:0:1 - - [07/Aug/2025:02:31:48 +0530] "POST /razorpay-demo/create-order HTTP/1.1" 200 210
0:0:0:0:0:0:0:1 - - [07/Aug/2025:02:32:15 +0530] "POST /razorpay-demo/payment-callback HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Aug/2025:02:32:15 +0530] "GET /razorpay-demo/success.jsp?orderId=order_R2Bq07A3EHwrRV HTTP/1.1" 200 568
